,abs_coef,indicator
cell_count,2.911091148414983,1
original_shape2D_MinorAxisLength_std,1.979844897625908,1
original_gldm_DependenceVariance_max,1.0251330274851727,1
original_shape2D_MajorAxisLength_50%,0.9422088641662418,1
original_gldm_DependenceNonUniformityNormalized_min,0.9350272734360261,-1
original_shape2D_MajorAxisLength_95%,0.8923409671377492,-1
original_gldm_LargeDependenceHighGrayLevelEmphasis_std,0.8541343053288037,-1
original_shape2D_Perimeter_95%,0.8482940445770352,-1
original_shape2D_MaximumDiameter_95%,0.8245418067823076,-1
original_shape2D_Elongation_95%,0.8215348758727468,-1
original_gldm_DependenceNonUniformity_max,0.8125598652175972,-1
original_glcm_Imc2_max,0.8098672099741723,1
original_firstorder_Maximum_min,0.8078332756918942,-1
original_shape2D_MajorAxisLength_5%,0.784294580565231,-1
original_firstorder_Maximum_5%,0.7482665780910999,1
original_gldm_SmallDependenceLowGrayLevelEmphasis_5%,0.7434244286505566,-1
original_glcm_ClusterProminence_std,0.732649265045594,-1
original_firstorder_90Percentile_min,0.7323670510160186,-1
original_firstorder_Skewness_max,0.724104884388761,1
original_glcm_Idm_min,0.7158727779745493,-1
original_glcm_MCC_95%,0.6994638075860784,1
original_glcm_Autocorrelation_std,0.6896771003281076,-1
original_glrlm_LongRunHighGrayLevelEmphasis_5%,0.6761324163304735,1
original_shape2D_PerimeterSurfaceRatio_50%,0.668408161947539,1
original_glszm_LargeAreaHighGrayLevelEmphasis_5%,0.6604014258469049,1
original_firstorder_10Percentile_95%,0.6560126164274617,1
original_firstorder_Median_min,0.6533061652731205,1
original_shape2D_MaximumDiameter_50%,0.6496375008883644,1
original_glrlm_RunVariance_95%,0.6456025089718643,1
original_glszm_ZoneVariance_95%,0.6456025089718643,1
original_firstorder_Minimum_max,0.6431889633425687,-1
original_glcm_JointEntropy_max,0.6293497215577888,-1
original_firstorder_Range_min,0.6221076866479998,1
original_firstorder_InterquartileRange_max,0.6207709072719328,1
original_gldm_GrayLevelNonUniformity_max,0.6205842356160368,-1
original_firstorder_90Percentile_5%,0.616240720058553,1
original_glcm_DifferenceAverage_max,0.611849197689883,1
original_gldm_HighGrayLevelEmphasis_std,0.6077188615535574,-1
original_gldm_DependenceEntropy_95%,0.6069322017282701,1
original_firstorder_90Percentile_max,0.6052255319051518,1
original_shape2D_Elongation_min,0.6038780460617291,-1
original_glcm_ClusterShade_std,0.6036089614000023,-1
original_shape2D_PerimeterSurfaceRatio_min,0.6030124643913772,-1
original_shape2D_MinorAxisLength_95%,0.596002006077326,1
original_shape2D_MajorAxisLength_std,0.5907478890539768,-1
original_firstorder_TotalEnergy_50%,0.5905819339333802,-1
original_firstorder_Energy_50%,0.5905819339333802,-1
original_glcm_Id_min,0.589962494477561,-1
original_firstorder_InterquartileRange_95%,0.5886095608141488,1
original_shape2D_MeshSurface_std,0.5818666635601525,1
diagnostics_Mask-original_VoxelNum_std,0.5818451207946173,1
original_shape2D_PixelSurface_std,0.5818451207946173,1
original_firstorder_Skewness_min,0.5802343505866657,-1
original_ngtdm_Strength_50%,0.5742427470268988,1
original_firstorder_Skewness_95%,0.5665684913887733,-1
original_ngtdm_Busyness_95%,0.5655924924093991,1
original_glcm_Autocorrelation_max,0.5630665485305725,1
original_glcm_Contrast_max,0.5571332435736817,1
original_glrlm_GrayLevelNonUniformity_95%,0.5515502462840871,1
original_glszm_GrayLevelNonUniformity_95%,0.5513669368309065,1
original_glszm_LargeAreaHighGrayLevelEmphasis_mean,0.5456117912541982,-1
original_glrlm_LongRunHighGrayLevelEmphasis_mean,0.5444288848343627,-1
original_glszm_LargeAreaHighGrayLevelEmphasis_95%,0.5438699381932592,-1
original_glrlm_LongRunHighGrayLevelEmphasis_95%,0.543776659699301,-1
original_gldm_GrayLevelNonUniformity_min,0.543514168632691,-1
original_glrlm_RunEntropy_5%,0.5359699911371159,-1
original_glszm_ZoneEntropy_5%,0.5359699911371159,-1
original_firstorder_RobustMeanAbsoluteDeviation_min,0.53473149049176,-1
original_glcm_Imc1_95%,0.5295239820568721,1
original_glcm_Contrast_5%,0.520588989845675,-1
original_shape2D_Sphericity_max,0.5203486534995612,-1
original_shape2D_MaximumDiameter_max,0.5175054155929544,1
original_glcm_Imc1_50%,0.5123850373460616,-1
original_shape2D_Elongation_mean,0.5088870422163548,-1
original_glrlm_RunEntropy_std,0.5056820820488507,1
original_firstorder_10Percentile_min,0.5035616683438783,1
original_glcm_Imc1_std,0.496635522420824,-1
original_glrlm_RunEntropy_min,0.49455698961875866,-1
original_glcm_DifferenceEntropy_min,0.49126984239112353,1
original_gldm_SmallDependenceHighGrayLevelEmphasis_std,0.4875467932104742,-1
original_glszm_ZoneEntropy_std,0.481471251159559,1
original_gldm_LowGrayLevelEmphasis_95%,0.4813359777368434,1
original_glszm_LargeAreaLowGrayLevelEmphasis_max,0.4788345425564632,1
original_glrlm_LongRunLowGrayLevelEmphasis_max,0.4788345425564632,1
diagnostics_Image-original_Mean_max,0.4775186541258145,-1
diagnostics_Image-original_Mean_50%,0.4775186541258145,-1
diagnostics_Image-original_Mean_min,0.4775186541258145,-1
diagnostics_Image-original_Mean_5%,0.4775186541258131,-1
diagnostics_Image-original_Mean_mean,0.4775186541258067,-1
diagnostics_Image-original_Mean_95%,0.47751865412580535,-1
original_firstorder_Kurtosis_mean,0.47594893913977543,-1
original_gldm_DependenceEntropy_min,0.47073128343328197,1
original_ngtdm_Busyness_mean,0.4688293949901051,1
original_ngtdm_Complexity_50%,0.4669985216040254,1
original_shape2D_MeshSurface_mean,0.4632787740070887,1
diagnostics_Mask-original_VoxelNum_mean,0.46306720472397894,1
original_shape2D_PixelSurface_mean,0.46306720472397894,1
original_glcm_SumEntropy_min,0.45869498510057494,-1
original_shape2D_MaximumDiameter_5%,0.4562716767015318,-1
original_glrlm_GrayLevelNonUniformity_min,0.45322271158249444,1
original_ngtdm_Strength_95%,0.45299021759989927,-1
original_glszm_GrayLevelNonUniformity_min,0.45183558914843935,1
original_firstorder_TotalEnergy_5%,0.44831482278456847,1
original_firstorder_Energy_5%,0.44831482278456847,1
original_glrlm_RunVariance_mean,0.4471583728416278,1
original_glszm_ZoneVariance_mean,0.4471583728416278,1
original_shape2D_Perimeter_5%,0.44552845459313506,-1
original_glszm_GrayLevelNonUniformity_std,0.4435111638553113,1
original_glrlm_GrayLevelNonUniformity_std,0.4426069281969947,1
original_shape2D_PerimeterSurfaceRatio_5%,0.4407464572964488,-1
original_shape2D_MaximumDiameter_std,0.4403138351705403,-1
original_firstorder_Kurtosis_max,0.43886918691681887,-1
original_glcm_JointEnergy_95%,0.438388217526013,-1
original_glszm_HighGrayLevelZoneEmphasis_min,0.4379163246716942,-1
original_glrlm_HighGrayLevelRunEmphasis_min,0.4379163246716925,-1
original_glcm_SumEntropy_5%,0.43773916946806596,1
original_ngtdm_Coarseness_95%,0.43745667421158774,1
original_firstorder_MeanAbsoluteDeviation_5%,0.4371322384064436,1
original_glrlm_LongRunHighGrayLevelEmphasis_50%,0.4335298148057096,1
original_glrlm_LowGrayLevelRunEmphasis_95%,0.43339971763255497,-1
original_glszm_LargeAreaEmphasis_5%,0.4332868782436031,-1
original_glszm_LargeAreaHighGrayLevelEmphasis_50%,0.43313715929248364,1
diagnostics_Mask-original_VolumeNum_std,0.43227822010577693,-1
original_glszm_LowGrayLevelZoneEmphasis_95%,0.4321637108450881,-1
original_firstorder_Uniformity_max,0.43182022621995914,-1
original_gldm_LargeDependenceEmphasis_5%,0.43100660197461155,-1
original_glrlm_LongRunLowGrayLevelEmphasis_min,0.42855466846145185,-1
original_glszm_LargeAreaLowGrayLevelEmphasis_min,0.42855466846145185,-1
original_glrlm_LongRunEmphasis_5%,0.4280069219337489,-1
original_gldm_LargeDependenceEmphasis_95%,0.4273483638105942,-1
original_firstorder_90Percentile_50%,0.42695122656014056,1
original_gldm_LargeDependenceLowGrayLevelEmphasis_95%,0.4252583180941665,1
original_glrlm_GrayLevelNonUniformity_5%,0.4236152030849264,1
original_glcm_MaximumProbability_min,0.4188802380022538,-1
original_glcm_ClusterProminence_5%,0.41641149546963774,1
original_glrlm_GrayLevelNonUniformityNormalized_5%,0.41558124505034066,-1
original_shape2D_Sphericity_min,0.4155199732255229,-1
original_glszm_GrayLevelNonUniformityNormalized_5%,0.4155003264008409,-1
original_glcm_SumAverage_max,0.4152861915350523,1
original_glcm_JointAverage_max,0.4152861915342753,1
original_shape2D_MinorAxisLength_50%,0.41345257189686513,-1
original_glrlm_ShortRunEmphasis_5%,0.4102968532270513,-1
original_glszm_SmallAreaEmphasis_5%,0.4101402275913177,-1
original_glrlm_RunEntropy_95%,0.40920189249079514,1
original_glszm_ZoneEntropy_95%,0.40920189249079514,1
diagnostics_Mask-original_VolumeNum_mean,0.4072262828855245,-1
original_glrlm_RunLengthNonUniformity_95%,0.40698823651480504,1
original_glszm_SizeZoneNonUniformity_95%,0.40668371890693344,1
original_glcm_ClusterProminence_50%,0.4039949023251734,1
original_ngtdm_Coarseness_std,0.40388968069066516,-1
original_firstorder_Range_std,0.40360639728609143,1
original_glszm_GrayLevelNonUniformity_5%,0.4025991993583503,1
original_glrlm_HighGrayLevelRunEmphasis_std,0.3994972589599906,-1
