,abs_coef,indicator
cell_count,3.021642877132185,1
original_shape2D_MinorAxisLength_std,2.1306307660239105,1
original_gldm_DependenceVariance_max,1.282905197244021,1
original_shape2D_MajorAxisLength_95%,1.0242539660031558,-1
original_firstorder_Minimum_max,0.9778845387944962,-1
original_shape2D_Sphericity_max,0.8911935090172682,-1
original_shape2D_Perimeter_95%,0.8783166602153589,-1
original_shape2D_MajorAxisLength_50%,0.8775915774844328,1
original_gldm_SmallDependenceLowGrayLevelEmphasis_5%,0.8644861335536421,-1
original_shape2D_MaximumDiameter_95%,0.8632780781012831,-1
original_firstorder_Maximum_min,0.8174667987918802,-1
original_shape2D_MajorAxisLength_5%,0.7988880786280398,-1
original_glcm_Idm_min,0.7919908453554297,-1
original_glcm_ClusterProminence_std,0.7544059706594975,-1
original_shape2D_PerimeterSurfaceRatio_50%,0.7484005482201436,1
original_shape2D_MajorAxisLength_std,0.7437446299268212,-1
original_shape2D_MinorAxisLength_95%,0.7393622467058831,1
original_firstorder_90Percentile_min,0.7386326496231901,-1
original_gldm_LargeDependenceHighGrayLevelEmphasis_std,0.7376151457388912,-1
original_glrlm_LongRunHighGrayLevelEmphasis_5%,0.7163279098517125,1
original_glrlm_RunEntropy_std,0.7118677606371937,1
original_glrlm_RunVariance_95%,0.7100678078631939,1
original_glszm_ZoneVariance_95%,0.7100678078631939,1
original_glcm_DifferenceAverage_max,0.7084372745585079,1
original_firstorder_90Percentile_max,0.7015502951108167,1
original_glszm_LargeAreaHighGrayLevelEmphasis_5%,0.7015313139068439,1
original_shape2D_Elongation_min,0.700709541897178,-1
original_glcm_Autocorrelation_std,0.6966026448311428,-1
original_glszm_ZoneEntropy_std,0.6930414529880609,1
original_ngtdm_Busyness_95%,0.6901556019889945,1
original_firstorder_Range_min,0.6816858983479355,1
original_gldm_DependenceEntropy_min,0.6743519381853612,1
original_firstorder_InterquartileRange_max,0.6672143569583642,1
original_firstorder_Maximum_5%,0.6621739936538111,1
original_shape2D_PerimeterSurfaceRatio_min,0.6589353711702185,-1
original_gldm_DependenceNonUniformity_max,0.6509776534466218,-1
original_gldm_DependenceNonUniformityNormalized_min,0.6488500079415562,-1
original_glcm_Imc1_95%,0.6447459334692897,1
original_glcm_Id_min,0.6387520362705156,-1
original_gldm_HighGrayLevelEmphasis_std,0.6286015076007481,-1
original_gldm_LowGrayLevelEmphasis_95%,0.6283798138036589,1
original_shape2D_MeshSurface_std,0.6283210098652101,1
diagnostics_Mask-original_VoxelNum_std,0.6283015302109141,1
original_shape2D_PixelSurface_std,0.6283015302109141,1
original_shape2D_Elongation_95%,0.6218642706450834,-1
original_glrlm_RunEntropy_5%,0.6052401754169783,-1
original_glszm_ZoneEntropy_5%,0.6052401754169783,-1
original_firstorder_Skewness_max,0.5976414941762598,1
original_gldm_GrayLevelNonUniformity_min,0.5924589954652789,-1
original_glrlm_GrayLevelNonUniformity_95%,0.5919690131166478,1
original_glszm_GrayLevelNonUniformity_95%,0.5917277231598098,1
original_shape2D_MaximumDiameter_std,0.5891981916538529,-1
original_shape2D_Sphericity_min,0.5852838891086489,-1
original_glcm_Imc1_50%,0.5767251632326011,-1
diagnostics_Image-original_Mean_std,0.5758497490025852,1
original_shape2D_MaximumDiameter_5%,0.5684086741455598,-1
original_glszm_LargeAreaHighGrayLevelEmphasis_mean,0.5665704153562338,-1
original_firstorder_InterquartileRange_95%,0.5659353131556736,1
original_glrlm_LongRunHighGrayLevelEmphasis_mean,0.5653700107108525,-1
original_glszm_GrayLevelNonUniformity_std,0.5644962040681181,1
original_glrlm_GrayLevelNonUniformity_std,0.5636706772057305,1
original_glcm_Contrast_max,0.5629846085865039,1
original_firstorder_RobustMeanAbsoluteDeviation_5%,0.5624807853199989,1
original_ngtdm_Strength_min,0.5567179341931318,-1
original_glcm_MaximumProbability_min,0.5522290500111002,-1
original_shape2D_MaximumDiameter_50%,0.5494629404803886,1
original_gldm_DependenceEntropy_95%,0.5409652783122951,1
original_glcm_Imc1_std,0.533316100332426,-1
original_ngtdm_Strength_std,0.5331819606267613,-1
original_glcm_MCC_95%,0.528127557673149,1
original_glszm_LargeAreaHighGrayLevelEmphasis_95%,0.5205573817043111,-1
original_glrlm_LongRunHighGrayLevelEmphasis_95%,0.5204803919619815,-1
original_firstorder_RobustMeanAbsoluteDeviation_min,0.519726998763791,-1
original_firstorder_Kurtosis_max,0.5141731684646803,-1
original_firstorder_TotalEnergy_5%,0.5120300205466491,1
original_firstorder_Energy_5%,0.5120300205466491,1
original_shape2D_MeshSurface_mean,0.5053204609552355,1
original_shape2D_PixelSurface_mean,0.5051267245408919,1
diagnostics_Mask-original_VoxelNum_mean,0.5051267245408919,1
original_firstorder_Energy_50%,0.5046181122549743,-1
original_firstorder_TotalEnergy_50%,0.5046181122549743,-1
original_glcm_SumEntropy_5%,0.5038371406707066,1
original_ngtdm_Complexity_50%,0.501455028025403,1
original_glcm_Autocorrelation_max,0.4882374376244412,1
original_ngtdm_Strength_50%,0.485342372775515,1
original_firstorder_Uniformity_min,0.482714839704623,-1
original_firstorder_MeanAbsoluteDeviation_5%,0.4806663653441901,1
original_ngtdm_Busyness_mean,0.4760276152422281,1
original_glcm_Imc1_min,0.4759162728519157,1
original_ngtdm_Contrast_5%,0.4747000463601389,1
original_firstorder_Uniformity_max,0.4745244217403105,-1
original_gldm_HighGrayLevelEmphasis_95%,0.474488705070778,1
original_glszm_ZoneEntropy_95%,0.4736973824017938,1
original_glrlm_RunEntropy_95%,0.4736973824017938,1
original_ngtdm_Coarseness_std,0.4725122239420569,-1
original_firstorder_Kurtosis_mean,0.4717710224647434,-1
original_glszm_HighGrayLevelZoneEmphasis_min,0.46064643342585204,-1
original_glrlm_HighGrayLevelRunEmphasis_min,0.4606464334258514,-1
